Record ID,Timestamp,Solar Radiation Sensor
9553514,2024-01-05 23:58:45,0
9553517,2024-01-05 23:59:45,0
9553520,2024-01-06 00:00:10,0
9553522,2024-01-06 00:00:45,0
9553523,2024-01-06 00:01:10,0
9553525,2024-01-06 00:01:45,0
9553527,2024-01-06 00:02:10,0
9553530,2024-01-06 00:02:45,0
9553532,2024-01-06 00:03:10,0
9553533,2024-01-06 00:04:00,0
9553535,2024-01-06 00:04:15,0
9553537,2024-01-06 00:04:50,0
9553538,2024-01-06 00:05:50,0
9553541,2024-01-06 00:06:25,0
9553544,2024-01-06 00:06:50,0
9553547,2024-01-06 00:07:20,0
9553548,2024-01-06 00:07:45,0
9553550,2024-01-06 00:08:20,0
9553552,2024-01-06 00:08:45,0
9553553,2024-01-06 00:09:15,0
9553556,2024-01-06 00:09:50,0
9553557,2024-01-06 00:10:10,0
9553558,2024-01-06 00:10:45,0
9553559,2024-01-06 00:11:10,0
9553562,2024-01-06 00:11:45,0
9553564,2024-01-06 00:12:10,0
9553567,2024-01-06 00:12:45,0
9553569,2024-01-06 00:13:15,0
9553572,2024-01-06 00:13:50,0
9553575,2024-01-06 00:14:10,0
9553576,2024-01-06 00:14:45,0
9553577,2024-01-06 00:15:10,0
9553580,2024-01-06 00:15:45,0
9553583,2024-01-06 00:16:15,0
9553585,2024-01-06 00:16:45,0
9553587,2024-01-06 00:17:10,0
9553590,2024-01-06 00:17:50,0
9553593,2024-01-06 00:18:10,0
9553596,2024-01-06 00:18:45,0
9553597,2024-01-06 00:19:10,0
9553599,2024-01-06 00:19:50,0
9553601,2024-01-06 00:20:45,0
9553602,2024-01-06 00:21:10,0
9553603,2024-01-06 00:21:45,0
9553605,2024-01-06 00:22:10,0
9553607,2024-01-06 00:22:45,0
9553610,2024-01-06 00:23:10,0
9553613,2024-01-06 00:23:45,0
9553615,2024-01-06 00:24:15,0
9553616,2024-01-06 00:24:55,0
9553619,2024-01-06 00:25:15,0
9553621,2024-01-06 00:25:45,0
9553624,2024-01-06 00:26:10,0
9553625,2024-01-06 00:26:45,0
9553628,2024-01-06 00:27:10,0
9553630,2024-01-06 00:27:45,0
9553632,2024-01-06 00:28:10,0
9553635,2024-01-06 00:28:50,0
9553636,2024-01-06 00:29:10,0
9553639,2024-01-06 00:29:50,0
9553640,2024-01-06 00:30:45,0
9553643,2024-01-06 00:31:10,0
9553644,2024-01-06 00:31:45,0
9553647,2024-01-06 00:32:15,0
9553650,2024-01-06 00:32:50,0
9553651,2024-01-06 00:33:45,0
9553652,2024-01-06 00:34:45,0
9553655,2024-01-06 00:35:11,0
9553657,2024-01-06 00:35:51,0
9553659,2024-01-06 00:36:11,0
9553660,2024-01-06 00:36:46,0
9553661,2024-01-06 00:37:11,0
9553663,2024-01-06 00:37:51,0
9553665,2024-01-06 00:38:11,0
9553667,2024-01-06 00:38:51,0
9553670,2024-01-06 00:39:16,0
9553673,2024-01-06 00:39:51,0
9553674,2024-01-06 00:40:51,0
9553675,2024-01-06 00:41:11,0
9553676,2024-01-06 00:41:46,0
9553677,2024-01-06 00:42:16,0
9553678,2024-01-06 00:42:41,0
9553679,2024-01-06 00:43:11,0
9553680,2024-01-06 00:43:46,0
9553683,2024-01-06 00:44:11,0
9553685,2024-01-06 00:44:51,0
9553687,2024-01-06 00:45:41,0
9553690,2024-01-06 00:46:06,0
9553691,2024-01-06 00:46:46,0
9553693,2024-01-06 00:47:11,0
9553696,2024-01-06 00:47:46,0
9553697,2024-01-06 00:48:06,0
9553700,2024-01-06 00:48:41,0
9553702,2024-01-06 00:49:51,0
9553704,2024-01-06 00:50:11,0
9553707,2024-01-06 00:50:41,0
9553710,2024-01-06 00:51:16,0
9553713,2024-01-06 00:51:41,0
9553716,2024-01-06 00:52:06,0
9553719,2024-01-06 00:53:06,0
9553721,2024-01-06 00:53:46,0
9553723,2024-01-06 00:54:11,0
9553726,2024-01-06 00:54:41,0
9553728,2024-01-06 00:55:11,0
9553730,2024-01-06 00:55:46,0
9553731,2024-01-06 00:56:11,0
9553734,2024-01-06 00:56:41,0
9553735,2024-01-06 00:57:06,0
9553736,2024-01-06 00:57:51,0
9553738,2024-01-06 00:58:11,0
9553739,2024-01-06 00:58:46,0
9553740,2024-01-06 00:59:11,0
9553743,2024-01-06 00:59:41,0
9553745,2024-01-06 01:00:41,0
9553746,2024-01-06 01:01:11,0
9553749,2024-01-06 01:01:51,0
9553752,2024-01-06 01:03:01,0
9553753,2024-01-06 01:03:21,0
9553755,2024-01-06 01:03:46,0
9553756,2024-01-06 01:04:16,0
9553758,2024-01-06 01:04:46,0
9553759,2024-01-06 01:05:16,0
9553760,2024-01-06 01:05:51,0
9553763,2024-01-06 01:06:51,0
9553764,2024-01-06 01:07:06,0
9553767,2024-01-06 01:07:46,0
9553769,2024-01-06 01:08:11,0
9553772,2024-01-06 01:08:46,0
9553774,2024-01-06 01:09:16,0
9553775,2024-01-06 01:09:51,0
9553777,2024-01-06 01:10:11,0
9553780,2024-01-06 01:10:41,0
9553781,2024-01-06 01:11:06,0
9553784,2024-01-06 01:11:41,0
9553786,2024-01-06 01:12:16,0
9553789,2024-01-06 01:12:51,0
9553790,2024-01-06 01:13:41,0
9553793,2024-01-06 01:14:41,0
9553795,2024-01-06 01:15:06,0
9553798,2024-01-06 01:15:41,0
9553799,2024-01-06 01:16:41,0
9553801,2024-01-06 01:17:06,0
9553803,2024-01-06 01:17:41,0
9553806,2024-01-06 01:18:41,0
9553808,2024-01-06 01:19:06,0
9553811,2024-01-06 01:20:06,0
9553812,2024-01-06 01:20:41,0
9553813,2024-01-06 01:21:41,0
9553816,2024-01-06 01:22:11,0
9553818,2024-01-06 01:23:06,0
9553819,2024-01-06 01:23:41,0
9553822,2024-01-06 01:24:06,0
9553824,2024-01-06 01:24:41,0
9553825,2024-01-06 01:25:06,0
9553828,2024-01-06 01:25:46,0
9553830,2024-01-06 01:26:06,0
9553831,2024-01-06 01:27:06,0
9553833,2024-01-06 01:28:06,0
9553834,2024-01-06 01:28:46,0
9553835,2024-01-06 01:29:41,0
9553838,2024-01-06 01:30:06,0
9553840,2024-01-06 01:30:46,0
9553842,2024-01-06 01:31:11,0
9553845,2024-01-06 01:31:46,0
9553846,2024-01-06 01:32:46,0
9553849,2024-01-06 01:33:11,0
9553851,2024-01-06 01:33:46,0
9553853,2024-01-06 01:34:11,0
9553856,2024-01-06 01:34:41,0
9553859,2024-01-06 01:35:16,0
9553860,2024-01-06 01:35:41,0
9553863,2024-01-06 01:36:21,0
9553864,2024-01-06 01:36:46,0
9553867,2024-01-06 01:37:16,0
9553869,2024-01-06 01:37:41,0
9553872,2024-01-06 01:38:12,0
9553873,2024-01-06 01:38:46,0
9553875,2024-01-06 01:39:07,0
9553877,2024-01-06 01:39:47,0
9553878,2024-01-06 01:40:42,0
9553880,2024-01-06 01:41:12,0
9553883,2024-01-06 01:41:47,0
9553884,2024-01-06 01:42:42,0
